id;name;code;similarTo;createdAt;updatedAt
457542;Financeiro | Contas à Pagar e Receber;;financial_management;2022-10-14T13:57:24.910Z;2024-10-15T17:39:44.554Z
467355;Segurança Patrimonial;;security;2022-11-03T13:59:46.848Z;2024-10-16T16:46:49.215Z
467356;Administração | Diretoria;;financial_management;2022-11-03T13:59:46.927Z;2024-10-15T17:27:02.510Z
467357;Administratação | Vendas Dentística;;sales;2022-11-03T13:59:46.993Z;2025-01-08T19:42:17.139Z
467358;Televendas | Dentística;;sales;2022-11-03T13:59:47.062Z;2024-10-16T16:47:12.675Z
467359;Administração | Vendas Implants;;sales;2022-11-03T13:59:47.134Z;2024-10-15T17:27:40.274Z
467360;Tecnologia da Informação | Infraestrutura;;technology;2022-11-03T13:59:47.229Z;2024-10-16T16:48:03.800Z
467361;Gestão de Pessoas;;human_resources;2022-11-03T13:59:47.313Z;2025-01-09T11:28:12.671Z
467362;Saúde e Segurança do Trabalho;;security;2022-11-03T13:59:47.380Z;2024-10-16T16:46:31.978Z
467363;Qualidade | Administrativa SGQ;;audit_or_quality;2022-11-03T13:59:47.488Z;2025-01-09T11:32:24.989Z
467364;Pesquisa & Desenvolvimento;;innovation_or_product;2022-11-03T13:59:47.555Z;2024-10-15T17:47:18.505Z
467365;Consultoria Técnica;;innovation_or_product;2022-11-03T13:59:47.626Z;2024-10-15T17:28:56.585Z
467366;Marketing | Trade;;communication_or_design_or_marketing;2022-11-03T13:59:47.708Z;2024-10-15T17:45:42.251Z
467367;Marketing | Internacional;;communication_or_design_or_marketing;2022-11-03T13:59:47.778Z;2024-10-15T17:46:50.102Z
467368;Marketing | Criação;;communication_or_design_or_marketing;2022-11-03T13:59:47.836Z;2024-10-15T17:33:19.944Z
467369;Marketing | Eventos;;communication_or_design_or_marketing;2022-11-03T13:59:47.907Z;2024-10-15T17:34:10.796Z
467370;Vendas | Implants;;sales;2022-11-03T13:59:48.058Z;2024-10-16T16:49:10.565Z
467371;Vendas | Dentística;;sales;2022-11-03T13:59:48.219Z;2024-10-16T16:49:01.264Z
467372;Exportação | Implants;;sales;2022-11-03T13:59:48.292Z;2024-10-15T17:35:25.334Z
467373;Projetos;;project_or_processes;2022-11-03T13:59:48.364Z;2024-10-15T17:57:41.727Z
467374;Garantia da Qualidade;;audit_or_quality;2022-11-03T13:59:48.465Z;2024-10-15T17:38:07.651Z
467375;QUALIDADE OPERACIONAL LABORATORIO;;audit_or_quality;2022-11-03T13:59:48.528Z;2022-11-03T13:59:48.528Z
467376;Engenharia de Processos | Implants;;project_or_processes;2022-11-03T13:59:48.598Z;2025-01-09T11:24:20.692Z
467377;Engenharia | Processos Dentística;;project_or_processes;2022-11-03T13:59:48.675Z;2024-10-15T17:51:58.885Z
467378;Engenharia | Processos Clareadores;;project_or_processes;2022-11-03T13:59:48.886Z;2024-10-15T17:51:32.652Z
467379;PRODUCAO MANUTENCAO;;engineering_or_maintenance_or_technical_services;2022-11-03T13:59:49.000Z;2022-11-03T13:59:49.000Z
467380;Produção | Envase Resinas;;operations;2022-11-03T13:59:49.079Z;2024-10-15T17:55:03.555Z
467381;Controle de Qualidade | Laboratório;;audit_or_quality;2022-11-03T13:59:49.141Z;2024-10-15T17:41:50.787Z
467382;Produção | Envase Clareadores;;operations;2022-11-03T13:59:49.213Z;2024-10-15T17:54:30.677Z
467383;Produção | Lixas e Feltros;;operations;2022-11-03T13:59:49.288Z;2024-10-15T17:56:49.949Z
467384;Produção | Cavibrush;;operations;2022-11-03T13:59:49.347Z;2024-10-15T17:53:08.019Z
467385;Produção | Pinos;;operations;2022-11-03T13:59:49.404Z;2024-10-15T17:57:30.292Z
467386;Produção | Blocos;;operations;2022-11-03T13:59:49.495Z;2024-10-15T17:52:50.967Z
467387;Laboratório | Resinas;;operations;2022-11-03T13:59:49.807Z;2024-10-15T17:42:52.389Z
467388;Manutenção Industrial;;engineering_or_maintenance_or_technical_services;2022-11-03T13:59:49.918Z;2024-10-15T17:45:06.629Z
467389;Produção | Regenerativos;;operations;2022-11-03T13:59:49.986Z;2025-01-09T11:30:29.621Z
467390;Produção | Embalagem Implants;;operations;2022-11-03T13:59:50.082Z;2024-10-15T17:25:48.012Z
467391;LOGISTICA FATURAMENTO;;logistics;2022-11-03T13:59:50.135Z;2022-11-03T13:59:50.135Z
467392;Almoxarifado | Dentscare;;logistics;2022-11-03T13:59:50.207Z;2025-01-09T11:25:25.571Z
467393;Logística | Centro Logístico;;logistics;2022-11-03T13:59:50.266Z;2024-10-15T17:43:15.223Z
467394;Faturamento;;logistics;2022-11-03T13:59:50.352Z;2025-01-09T11:25:57.853Z
467395;PPCPM | Planejamento, Programação, Controle da Produção e Materiais;;logistics;2022-11-03T13:59:50.491Z;2024-10-15T17:48:11.407Z
467396;Suprimentos | Compras;;purchases;2022-11-03T13:59:50.606Z;2024-10-15T17:28:19.239Z
467398;Loja | Belo Horizonte/MG;;sales;2022-11-03T13:59:50.837Z;2025-01-09T11:27:31.372Z
467399;Produção | Embalagem Clareadores;;operations;2022-11-03T13:59:50.958Z;2024-10-15T17:53:23.656Z
467400;Laboratório | Clareadores;;operations;2022-11-03T13:59:51.152Z;2024-10-15T17:42:41.724Z
467401;Qualidade | Clareadores;;audit_or_quality;2022-11-03T13:59:51.362Z;2024-10-16T16:40:37.044Z
467402;RECEBIMENTO EXPEDICAO ESTOQUE EMBALAGEM;;logistics;2022-11-03T13:59:51.733Z;2022-11-03T13:59:51.733Z
467403;Almoxarifado | Clareadores;;logistics;2022-11-03T13:59:51.885Z;2025-01-09T11:24:38.991Z
467404;Financeiro | Fiscal;;accounting_or_controlling;2022-11-03T13:59:51.947Z;2024-10-15T17:40:05.738Z
467405;Central de Relacionamento;;attendance;2022-11-03T13:59:52.273Z;2024-10-15T17:28:05.902Z
467406;Produção | Usinagem Biocircle;;operations;2022-11-03T13:59:52.368Z;2025-01-09T11:30:08.801Z
467407;Qualidade | Biocircle;;audit_or_quality;2022-11-03T13:59:52.430Z;2024-10-16T16:40:15.505Z
467598;Marketing;;communication_or_design_or_marketing;2022-11-03T17:28:31.840Z;2025-01-09T11:29:41.250Z
467599;Loja | São Paulo/SP;;sales;2022-11-03T17:29:24.874Z;2024-10-15T17:44:21.676Z
467600;Qualidade | Operacional;;audit_or_quality;2022-11-03T17:29:53.361Z;2024-10-15T17:57:09.419Z
469602;Banco de Talentos | Produção e Logística;;operations;2022-11-07T12:59:46.393Z;2025-01-09T11:20:02.174Z
469862;Banco de Talentos | Afirmativo Pessoas com Deficiência;;operations;2022-11-07T16:49:04.551Z;2025-01-09T11:19:43.728Z
469863;Banco de Talentos | Jovem Aprendiz;;operations;2022-11-07T16:49:32.203Z;2025-01-09T11:19:11.940Z
476509;Banco de Talentos | Geral;;operations;2022-11-16T19:40:29.728Z;2025-01-09T11:18:56.952Z
537777;Produção | Envase Dentística;;operations;2023-03-16T13:00:23.733Z;2024-10-15T17:54:45.193Z
537778;Produção | Embalagem Resinas;;operations;2023-03-16T13:00:47.685Z;2025-01-09T11:31:10.238Z
552758;VENDAS;;sales;2023-04-03T18:24:26.825Z;2023-04-03T18:24:26.825Z
627277;Exportação | Dentística;;sales;2023-08-01T12:22:58.314Z;2024-10-15T17:35:13.616Z
650542;Relacionamento & Educação;;innovation_or_product;2024-01-17T17:30:03.580Z;2024-10-16T16:44:51.121Z
656993;Consultoria Científica;;innovation_or_product;2024-03-11T17:40:16.307Z;2024-10-15T17:28:46.121Z
672096;PRODUÇÃO;;operations;2024-06-13T11:01:22.884Z;2024-06-13T11:01:22.884Z
678522;ESG | Environmental Social Governance;;security;2024-07-15T12:11:01.071Z;2024-10-15T17:33:58.838Z
713215;Produção | Implants;;operations;2024-10-15T17:26:05.376Z;2024-10-15T17:26:05.376Z
713216;Produção | Embalagem Biomateriais;;operations;2024-10-15T17:26:20.189Z;2024-10-15T17:26:20.189Z
713217;Financeiro | Contábil;;accounting_or_controlling;2024-10-15T17:40:16.271Z;2024-10-15T17:40:16.271Z
